% AB mag
% 1.2
% WD model 18000K log g=8 FUV=18.5mag
1091.860663 18.525388
1091.962617 18.524565
1092.064571 18.523763
1092.166525 18.522983
1092.268479 18.522222
1092.370433 18.521483
1092.472387 18.520765
1092.574342 18.520065
1092.676296 18.519384
1092.778250 18.518719
1092.880204 18.518069
1092.982158 18.517431
1093.084112 18.516809
1093.186066 18.516196
1093.288020 18.515593
1093.389975 18.514998
1093.491929 18.514410
1093.593883 18.513831
1093.695837 18.513265
1093.797791 18.512707
1093.899745 18.512162
1094.001699 18.511630
1094.103653 18.511109
1094.205607 18.510607
1094.307562 18.510117
1094.409516 18.509639
1094.511470 18.509176
1094.613424 18.508726
1094.715378 18.508281
1094.817332 18.507849
1094.919286 18.507426
1095.021240 18.507006
1095.123195 18.506596
1095.225149 18.506191
1095.327103 18.505795
1095.429057 18.505403
1095.531011 18.505019
1095.632965 18.504645
1095.734919 18.504280
1095.836873 18.503921
1095.938828 18.503574
1096.040782 18.503233
1096.142736 18.502901
1096.244690 18.502579
1096.346644 18.502259
1096.448598 18.501945
1096.550552 18.501641
1096.652506 18.501336
1096.754460 18.501041
1096.856415 18.500752
1096.958369 18.500465
1097.060323 18.500191
1097.162277 18.499920
1097.264231 18.499661
1097.366185 18.499408
1097.468139 18.499167
1097.570093 18.498935
1097.672048 18.498709
1097.774002 18.498496
1097.875956 18.498285
1097.977910 18.498083
1098.079864 18.497885
1098.181818 18.497692
1098.283772 18.497506
1098.385726 18.497322
1098.487681 18.497145
1098.589635 18.496970
1098.691589 18.496805
1098.793543 18.496646
1098.895497 18.496489
1098.997451 18.496342
1099.099405 18.496204
1099.201359 18.496072
1099.303314 18.495946
1099.405268 18.495826
1099.507222 18.495709
1099.609176 18.495601
1099.711130 18.495497
1099.813084 18.495395
1099.915038 18.495299
1100.016992 18.495207
1100.118946 18.495120
1100.220901 18.495037
1100.322855 18.494962
1100.424809 18.494894
1100.526763 18.494835
1100.628717 18.494785
1100.730671 18.494737
1100.832625 18.494703
1100.934579 18.494671
1101.036534 18.494648
1101.138488 18.494628
1101.240442 18.494612
1101.342396 18.494601
1101.444350 18.494591
1101.546304 18.494583
1101.648258 18.494576
1101.750212 18.494572
1101.852167 18.494564
1101.954121 18.494560
1102.056075 18.494556
1102.158029 18.494552
1102.259983 18.494548
1102.361937 18.494544
1102.463891 18.494540
1102.565845 18.494536
1102.667799 18.494533
1102.769754 18.494532
1102.871708 18.494531
1102.973662 18.494534
1103.075616 18.494536
1103.177570 18.494542
1103.279524 18.494553
1103.381478 18.494568
1103.483432 18.494592
1103.585387 18.494619
1103.687341 18.494656
1103.789295 18.494701
1103.891249 18.494753
1103.993203 18.494813
1104.095157 18.494880
1104.197111 18.494954
1104.299065 18.495033
1104.401020 18.495118
1104.502974 18.495207
1104.604928 18.495299
1104.706882 18.495391
1104.808836 18.495485
1104.910790 18.495581
1105.012744 18.495679
1105.114698 18.495774
1105.216653 18.495873
1105.318607 18.495971
1105.420561 18.496067
1105.522515 18.496165
1105.624469 18.496264
1105.726423 18.496363
1105.828377 18.496462
1105.930331 18.496561
1106.032285 18.496664
1106.134240 18.496766
1106.236194 18.496872
1106.338148 18.496977
1106.440102 18.497089
1106.542056 18.497204
1106.644010 18.497325
1106.745964 18.497453
1106.847918 18.497587
1106.949873 18.497727
1107.051827 18.497876
1107.153781 18.498032
1107.255735 18.498197
1107.357689 18.498365
1107.459643 18.498542
1107.561597 18.498723
1107.663551 18.498907
1107.765506 18.499094
1107.867460 18.499284
1107.969414 18.499478
1108.071368 18.499669
1108.173322 18.499863
1108.275276 18.500057
1108.377230 18.500254
1108.479184 18.500448
1108.581138 18.500643
1108.683093 18.500841
1108.785047 18.501036
1108.887001 18.501234
1108.988955 18.501429
1109.090909 18.501628
1109.192863 18.501826
1109.294817 18.502028
1109.396771 18.502230
1109.498726 18.502436
1109.600680 18.502644
1109.702634 18.502856
1109.804588 18.503074
1109.906542 18.503299
1110.008496 18.503530
1110.110450 18.503770
1110.212404 18.504017
1110.314359 18.504273
1110.416313 18.504536
1110.518267 18.504809
1110.620221 18.505084
1110.722175 18.505366
1110.824129 18.505655
1110.926083 18.505947
1111.028037 18.506242
1111.129992 18.506537
1111.231946 18.506836
1111.333900 18.507135
1111.435854 18.507434
1111.537808 18.507734
1111.639762 18.508037
1111.741716 18.508337
1111.843670 18.508640
1111.945624 18.508941
1112.047579 18.509245
1112.149533 18.509546
1112.251487 18.509850
1112.353441 18.510152
1112.455395 18.510460
1112.557349 18.510765
1112.659303 18.511070
1112.761257 18.511382
1112.863212 18.511691
1112.965166 18.512007
1113.067120 18.512326
1113.169074 18.512648
1113.271028 18.512974
1113.372982 18.513303
1113.474936 18.513639
1113.576890 18.513982
1113.678845 18.514324
1113.780799 18.514674
1113.882753 18.515026
1113.984707 18.515379
1114.086661 18.515739
1114.188615 18.516099
1114.290569 18.516459
1114.392523 18.516820
1114.494477 18.517184
1114.596432 18.517545
1114.698386 18.517909
1114.800340 18.518274
1114.902294 18.518639
1115.004248 18.519005
1115.106202 18.519371
1115.208156 18.519737
1115.310110 18.520104
1115.412065 18.520467
1115.514019 18.520834
1115.615973 18.521202
1115.717927 18.521569
1115.819881 18.521937
1115.921835 18.522306
1116.023789 18.522674
